request_id,op,filename,bytes,rounds,forfeited_bytes,arrival_ns,start_ns,finish_ns
1,PUT,large.txt,153600,38,0,1862325081168000,1862325081173000,1862325083716000
2,PUT,longline.txt,160008,40,0,1862325083852000,1862325083856000,1862325085963000
3,PUT,medium.txt,30720,8,0,1862325086072000,1862325086077000,1862325086542000
4,PUT,small.txt,1024,1,0,1862325086611000,1862325086615000,1862325086776000
5,GET,large.txt,153600,38,1280,1862325086912000,1862325086925000,1862325217931000
6,PUT,medium.txt,30720,8,0,1862325086916000,1862325088759000,1862325105329000
7,GET,longline.txt,160008,8,0,1862325086944000,1862325088862000,1862325105485000
8,GET,longline.txt,160008,8,0,1862325087043000,1862325089027000,1862325105650000
9,GET,longline.txt,160008,8,0,1862325087043000,1862325089175000,1862325105806000
10,PUT,longline.txt,160008,40,0,1862325087045000,1862325089325000,1862325223858000
11,PUT,small.txt,1024,1,0,1862325087082000,1862325089411000,1862325089580000
12,PUT,longline.txt,160008,40,0,1862325087106000,1862325089583000,1862325224177000
13,PUT,large.txt,153600,38,0,1862325089697000,1862325092586000,1862325221735000
14,GET,large.txt,153600,38,1280,1862325105396000,1862325108000000,1862325249748000
15,PUT,longline.txt,160008,40,0,1862325105604000,1862325109561000,1862325257079000
16,PUT,medium.txt,30720,8,0,1862325105719000,1862325109679000,1862325134732000
17,GET,longline.txt,160008,8,0,1862325105850000,1862325109773000,1862325134892000
18,GET,small.txt,1024,1,0,1862325134810000,1862325138318000,1862325138563000
19,GET,small.txt,1024,1,0,1862325134952000,1862325138601000,1862325138836000
20,GET,longline.txt,160008,8,0,1862325138628000,1862325142318000,1862325167109000
21,PUT,medium.txt,30720,8,0,1862325138917000,1862325142520000,1862325167353000
22,GET,medium.txt,30720,8,243,1862325167298000,1862325170630000,1862325203586000
23,PUT,large.txt,153600,38,0,1862325167529000,1862325172136000,1862325342997000
24,GET,small.txt,1024,1,0,1862325203773000,1862325207191000,1862325207444000
25,GET,longline.txt,160008,8,0,1862325207568000,1862325210641000,1862325234652000
26,PUT,medium.txt,30720,8,0,1862325218086000,1862325219935000,1862325249023000
27,GET,longline.txt,160008,8,0,1862325221859000,1862325224226000,1862325256431000
28,GET,large.txt,153600,38,1280,1862325223995000,1862325226378000,1862325439618000
29,GET,large.txt,153600,38,1280,1862325224296000,1862325227913000,1862325441962000
30,PUT,large.txt,153600,38,0,1862325234888000,1862325239249000,1862325449025000
31,PUT,longline.txt,160008,40,0,1862325249260000,1862325252864000,1862325471614000
32,GET,small.txt,1024,1,0,1862325249923000,1862325252984000,1862325253225000
33,GET,large.txt,153600,38,1280,1862325253355000,1862325257080000,1862325469686000
34,PUT,longline.txt,160008,40,0,1862325256710000,1862325261638000,1862325480901000
35,PUT,medium.txt,30720,8,0,1862325257218000,1862325261732000,1862325294668000
36,GET,medium.txt,30720,8,243,1862325294880000,1862325299229000,1862325345275000
37,GET,medium.txt,30720,8,243,1862325343212000,1862325348307000,1862325396467000
38,PUT,longline.txt,160008,40,0,1862325345528000,1862325351565000,1862325576748000
39,GET,large.txt,153600,38,1280,1862325396635000,1862325401735000,1862325622073000
40,GET,longline.txt,160008,8,0,1862325439865000,1862325443717000,1862325473904000
41,PUT,medium.txt,30720,8,0,1862325442184000,1862325445525000,1862325477392000
42,GET,medium.txt,30720,8,243,1862325449221000,1862325452746000,1862325488394000
43,PUT,small.txt,1024,1,0,1862325469981000,1862325473906000,1862325474093000
44,PUT,longline.txt,160008,40,0,1862325471904000,1862325475637000,1862325733732000
45,GET,small.txt,1024,1,0,1862325474027000,1862325477394000,1862325477632000
46,GET,large.txt,153600,38,1280,1862325474196000,1862325477637000,1862325728695000
47,GET,small.txt,1024,1,0,1862325477634000,1862325482583000,1862325482978000
48,GET,medium.txt,30720,8,243,1862325477817000,1862325482981000,1862325527838000
49,PUT,large.txt,153600,38,0,1862325481147000,1862325487784000,1862325734082000
50,GET,small.txt,1024,1,0,1862325483168000,1862325488400000,1862325488632000
51,GET,large.txt,153600,38,1280,1862325488632000,1862325494531000,1862325743245000
52,GET,small.txt,1024,1,0,1862325488808000,1862325495998000,1862325496232000
53,PUT,medium.txt,30720,8,0,1862325496453000,1862325502295000,1862325542476000
54,PUT,small.txt,1024,1,0,1862325528073000,1862325532314000,1862325532506000
55,PUT,medium.txt,30720,8,0,1862325532709000,1862325537091000,1862325578481000
56,GET,medium.txt,30720,8,243,1862325542712000,1862325547163000,1862325596993000
57,GET,medium.txt,30720,8,243,1862325576992000,1862325582949000,1862325635273000
58,GET,large.txt,153600,38,1280,1862325578684000,1862325585907000,1862325813901000
59,GET,longline.txt,160008,8,0,1862325597382000,1862325604417000,1862325650951000
60,PUT,medium.txt,30720,8,0,1862325622310000,1862325628436000,1862325677017000
61,GET,medium.txt,30720,8,243,1862325635472000,1862325639918000,1862325697121000
62,PUT,large.txt,153600,38,0,1862325651229000,1862325658513000,1862325858636000
63,GET,large.txt,153600,38,1280,1862325677257000,1862325684288000,1862325876477000
64,PUT,large.txt,153600,38,0,1862325697414000,1862325705440000,1862325885405000
65,GET,small.txt,1024,1,0,1862325728898000,1862325734084000,1862325734316000
66,PUT,longline.txt,160008,40,0,1862325734006000,1862325740417000,1862325928042000
67,GET,longline.txt,160008,8,0,1862325734390000,1862325740547000,1862325771669000
68,PUT,longline.txt,160008,40,0,1862325734583000,1862325740728000,1862325928364000
69,GET,small.txt,1024,1,0,1862325743442000,1862325746487000,1862325746739000
70,PUT,small.txt,1024,1,0,1862325746880000,1862325750002000,1862325750201000
71,GET,large.txt,153600,38,1280,1862325750332000,1862325753654000,1862325942091000
72,PUT,small.txt,1024,1,0,1862325771912000,1862325776584000,1862325776779000
73,PUT,medium.txt,30720,8,0,1862325777015000,1862325781313000,1862325814245000
74,PUT,large.txt,153600,38,0,1862325814177000,1862325817342000,1862326021056000
75,GET,medium.txt,30720,8,243,1862325814456000,1862325817468000,1862325851544000
76,PUT,small.txt,1024,1,0,1862325851787000,1862325854700000,1862325854919000
77,GET,medium.txt,30720,8,243,1862325855120000,1862325858798000,1862325894386000
78,PUT,small.txt,1024,1,0,1862325858898000,1862325863400000,1862325863571000
79,GET,longline.txt,160008,8,0,1862325863745000,1862325868390000,1862325903074000
80,GET,large.txt,153600,38,1280,1862325876708000,1862325879990000,1862326103794000
81,PUT,longline.txt,160008,40,0,1862325885665000,1862325890382000,1862326116787000
82,GET,medium.txt,30720,8,243,1862325894577000,1862325898237000,1862325945734000
83,GET,large.txt,153600,38,1280,1862325903308000,1862325908255000,1862326130072000
84,GET,medium.txt,30720,8,243,1862325928249000,1862325934791000,1862325979016000
85,PUT,small.txt,1024,1,0,1862325928542000,1862325936403000,1862325936615000
86,PUT,large.txt,153600,38,0,1862325936871000,1862325943684000,1862326144206000
