request_id,op,filename,bytes,rounds,forfeited_bytes,arrival_ns,start_ns,finish_ns
1,PUT,large.txt,153600,1,0,1862304568092000,1862304568106000,1862304568605000
2,PUT,longline.txt,160008,1,0,1862304568808000,1862304568811000,1862304569234000
3,PUT,medium.txt,30720,1,0,1862304569389000,1862304569392000,1862304569631000
4,PUT,small.txt,1024,1,0,1862304569759000,1862304569761000,1862304569949000
5,GET,longline.txt,160008,1,0,1862304570191000,1862304570193000,1862304570868000
6,GET,longline.txt,160008,1,0,1862304570256000,1862304570276000,1862304571048000
7,PUT,small.txt,1024,1,0,1862304570258000,1862304570264000,1862304570550000
8,GET,longline.txt,160008,1,0,1862304570265000,1862304570293000,1862304571024000
9,GET,longline.txt,160008,1,0,1862304570324000,1862304570817000,1862304571503000
10,PUT,medium.txt,30720,1,0,1862304570354000,1862304570554000,1862304570814000
11,PUT,longline.txt,160008,1,0,1862304570361000,1862304570873000,1862304571519000
12,PUT,longline.txt,160008,1,0,1862304570383000,1862304571051000,1862304571880000
13,PUT,large.txt,153600,1,0,1862304570907000,1862304571027000,1862304571895000
14,PUT,large.txt,153600,1,0,1862304571294000,1862304571877000,1862304573522000
15,PUT,medium.txt,30720,1,0,1862304571360000,1862304571505000,1862304571875000
16,GET,medium.txt,30720,1,0,1862304571437000,1862304571522000,1862304584751000
17,PUT,large.txt,153600,1,0,1862304571445000,1862304571883000,1862304573828000
18,PUT,longline.txt,160008,1,0,1862304571865000,1862304571897000,1862304573712000
19,PUT,longline.txt,160008,1,0,1862304571878000,1862304573895000,1862304574483000
20,GET,small.txt,1024,1,0,1862304572238000,1862304573525000,1862304573893000
21,PUT,longline.txt,160008,1,0,1862304572334000,1862304574487000,1862304574915000
22,PUT,large.txt,153600,1,0,1862304572336000,1862304573715000,1862304574457000
23,GET,medium.txt,30720,1,0,1862304573726000,1862304573831000,1862304587047000
24,GET,small.txt,1024,1,0,1862304574178000,1862304574461000,1862304574808000
25,PUT,longline.txt,160008,1,0,1862304574209000,1862304575159000,1862304575635000
26,GET,longline.txt,160008,1,0,1862304574217000,1862304575489000,1862304576265000
27,GET,small.txt,1024,1,0,1862304574753000,1862304574811000,1862304575156000
28,PUT,medium.txt,30720,1,0,1862304574766000,1862304574918000,1862304575128000
29,GET,small.txt,1024,1,0,1862304574943000,1862304575130000,1862304575485000
30,PUT,longline.txt,160008,1,0,1862304575264000,1862304575637000,1862304576125000
31,GET,longline.txt,160008,1,0,1862304575399000,1862304576269000,1862304577070000
32,GET,longline.txt,160008,1,0,1862304575419000,1862304577651000,1862304578286000
33,GET,longline.txt,160008,1,0,1862304575684000,1862304585859000,1862304587381000
34,GET,large.txt,153600,1,0,1862304575947000,1862304576128000,1862304651555000
35,PUT,medium.txt,30720,1,0,1862304576821000,1862304577073000,1862304577306000
36,PUT,longline.txt,160008,1,0,1862304576825000,1862304587050000,1862304587868000
37,GET,small.txt,1024,1,0,1862304577223000,1862304577309000,1862304577648000
38,PUT,longline.txt,160008,1,0,1862304577595000,1862304587871000,1862304588714000
39,GET,small.txt,1024,1,0,1862304577789000,1862304578288000,1862304578835000
40,PUT,small.txt,1024,1,0,1862304578683000,1862304578847000,1862304579328000
41,GET,small.txt,1024,1,0,1862304578971000,1862304579329000,1862304579906000
42,GET,large.txt,153600,1,0,1862304579459000,1862304579913000,1862304658861000
43,PUT,small.txt,1024,1,0,1862304580068000,1862304584760000,1862304585309000
44,PUT,medium.txt,30720,1,0,1862304584851000,1862304585318000,1862304585853000
45,GET,longline.txt,160008,1,0,1862304585478000,1862304588716000,1862304589679000
46,GET,longline.txt,160008,1,0,1862304586017000,1862304659322000,1862304660239000
47,GET,small.txt,1024,1,0,1862304587217000,1862304587383000,1862304587789000
48,PUT,medium.txt,30720,1,0,1862304587603000,1862304587791000,1862304588090000
49,PUT,medium.txt,30720,1,0,1862304587995000,1862304588092000,1862304588398000
